Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000413,X,-1,-1,I_mean_FPKM,0.078785767,I
AGAP000414,X,-1,-1,I_mean_FPKM,0.153674723,I
AGAP000415,X,-1,-1,I_mean_FPKM,3.213951715,I
AGAP000416,X,-1,-1,I_mean_FPKM,92.00279855,I
AGAP000417,X,,,I_mean_FPKM,0.030052614,I
AGAP000418,,-1,-1,I_mean_FPKM,0.045572092,I
AGAP000419,,,,I_mean_FPKM,0.011447342,I
AGAP000420,X,-1,-1,I_mean_FPKM,0.012860147,I
AGAP000421,X,,,I_mean_FPKM,1.252096829,I
AGAP000422,X,-1,-1,I_mean_FPKM,0.387089094,I
AGAP000423,X,,,I_mean_FPKM,0,I
AGAP000424,X,,,I_mean_FPKM,0,I
AGAP000425,X,-1,-1,I_mean_FPKM,548.076973,I
AGAP000426,X,-1,-1,I_mean_FPKM,319.6913192,I
AGAP000427,X,-1,-1,I_mean_FPKM,3.360922995,I
AGAP000428,X,-1,-1,I_mean_FPKM,631.3956724,I
AGAP000429,X,-1,-1,I_mean_FPKM,158.3805388,I
AGAP000430,X,-1,-1,I_mean_FPKM,0.764630615,I
AGAP000431,X,-1,-1,I_mean_FPKM,0,I
AGAP000432,X,-1,-1,I_mean_FPKM,51.03916871,I
AGAP000433,X,-1,-1,I_mean_FPKM,191.6054816,I
AGAP000434,X,-1,-1,I_mean_FPKM,668.676271,I
AGAP000436,X,-1,-1,I_mean_FPKM,156.6285861,I
AGAP000437,X,-1,-1,I_mean_FPKM,0.038734944,I
AGAP000438,X,-1,-1,I_mean_FPKM,26.13428824,I
AGAP000439,X,-1,-1,I_mean_FPKM,604.276074,I
AGAP000440,X,-1,-1,I_mean_FPKM,299.3486689,I
AGAP000441,X,,,I_mean_FPKM,5.707567071,I
AGAP000444,X,-1,-1,I_mean_FPKM,32.52917603,I
AGAP000445,X,-1,-1,I_mean_FPKM,0,I
AGAP000446,X,-1,-1,I_mean_FPKM,0.361618119,I
AGAP000447,X,,,I_mean_FPKM,115.7748454,I
AGAP000448,X,-1,-1,I_mean_FPKM,35.65801786,I
AGAP000449,X,-1,-1,I_mean_FPKM,8.698704858,I
AGAP000452,X,-1,-1,I_mean_FPKM,428.474194,I
AGAP000453,X,-1,-1,I_mean_FPKM,105.3421545,I
AGAP000454,X,-1,-1,I_mean_FPKM,32.50044775,I
